index,x1,x2,x3,x4,y1,y2,y3,y4
0,2733,9846,3265,4860,9226,7892,4374,5875
1,6745,3469,706,2600,2223,7769,2898,9894
2,538,6217,6922,6037,2164,5073,4852,7878
3,2047,1872,7600,2497,8292,756,798,660
4,3220,8616,7457,3338,2746,4736,8737,6688
5,715,2293,8344,1208,6173,8995,7222,6022
6,3623,3561,8949,1642,4985,4354,8623,7251
7,4188,2660,9782,2957,2252,4421,7109,1072
8,5252,7013,9397,3919,9360,1685,7099,2958
9,4470,8753,9798,5796,1473,7264,7366,8449
10,6002,3763,9009,2436,1635,974,4465,8394
11,2419,3456,6168,5820,6522,6243,7743,9124
12,6739,2788,7317,4306,2611,5532,6927,7205
13,6923,4183,308,5303,1153,6951,8468,5295
14,1209,2493,8830,771,8287,5996,2345,3092
15,3913,1435,6595,5369,8373,7149,7998,3855
16,8033,8132,4846,5117,3534,2938,9838,4940
17,9745,3225,5022,1135,26,9681,957,1914
18,2935,9662,2722,929,5628,6266,5447,470
19,8718,1864,1721,5273,592,6186,2323,208
20,4263,3422,5250,8409,8217,5104,7940,2283
21,1741,6119,5847,3782,2776,2604,7180,6357
22,1163,624,8963,4052,1242,9014,4404,1199
23,2998,5662,808,2122,8068,3887,8923,6067
24,9988,1824,200,1448,5182,5209,6178,4864
25,6181,1793,1484,8390,895,5375,137,6274
26,9585,3420,169,6005,2853,9754,4420,8040
27,8701,3187,5919,5150,1778,3362,8339,5394
28,4318,4606,2563,6214,9101,4653,6236,424
29,6855,968,4371,9053,6188,5204,434,6238
30,1430,2547,330,3613,8402,6762,3969,8151
31,1041,6251,8357,8799,7705,6773,5312,9412
32,9524,9145,6012,2799,8353,2196,4681,6600
33,9304,3086,5714,5241,733,5029,8474,7595
34,4567,9501,7445,3397,5348,7035,596,648
35,574,6798,5638,8449,5260,9221,6568,4445
36,2990,587,5103,7602,740,4883,5411,438
37,3899,1848,9725,1021,6931,942,8642,5611
38,9009,2108,9883,4260,946,8394,7469,1806
39,1863,8743,3752,9865,2041,904,8697,8016
40,5897,7943,7378,9672,5594,3129,7027,3822
41,2712,8473,1029,2661,2354,5663,7735,8346
42,7522,1054,2978,5492,3894,2680,4951,2666
43,3058,6839,3969,852,9593,5029,3794,7317
44,8054,7153,3332,8319,5931,8770,5653,805
45,5445,3025,113,1968,651,4334,1385,64
46,4000,3989,2503,3517,2672,2388,5395,3442
47,8011,1964,5764,2957,7397,3899,3970,7297
48,4904,8891,293,9030,4100,5347,7034,4777
49,7453,6981,4123,737,4462,1972,8390,1672
50,607,2121,6997,9352,1732,7789,3396,6247
51,8021,8788,5344,2305,3420,1132,2004,7645
52,1708,9775,8193,7529,692,2548,2684,8536
53,6996,6863,6177,6599,5986,4525,828,6835
54,3205,94,2468,3779,405,5038,9402,376
55,3946,498,7667,7374,9631,8931,4516,6730
56,3291,1563,8653,3124,1839,9661,6960,4737
57,3467,4044,6030,4703,5639,7854,5535,6311
58,2988,4691,3293,2882,5802,7283,8527,8934
59,9436,8293,2464,7677,8367,8798,7795,3746
60,4877,3809,9962,9041,9283,5577,2174,9355
61,4721,6875,1180,8889,7289,2497,2758,7459
62,4048,2052,6845,3311,7846,1748,7829,9095
63,3869,4724,4999,4931,605,8157,3687,9062
64,3452,3782,9546,101,4791,9038,6038,5628
65,8864,3666,3108,8430,6911,9498,22,6574
66,1254,6103,8593,9199,3192,9894,8064,1735
67,6541,3419,8779,5047,7247,9023,9801,3206
68,5291,4548,6283,4851,1338,3548,388,5246
69,3923,1222,1925,7186,8902,8640,351,8857
70,3716,8617,4261,7739,9394,3512,674,1939
71,8034,8946,7304,1974,8530,5278,7971,116
72,5720,8044,8170,5697,3405,4243,2821,1800
73,2692,9265,6438,9710,9777,6254,4079,5406
74,4612,8267,6635,6008,3605,3281,5163,5619
75,29,1435,2904,3253,6449,9831,8970,7427
76,9078,613,4187,9285,8810,9739,4109,5737
77,4264,9121,9595,9115,100,7386,2355,5909
78,1609,5395,9113,7720,285,1,4804,5852
79,2964,9379,2099,4967,2069,6828,5605,6510
80,7875,8418,7821,1808,3191,1933,3974,267
81,5383,8807,9558,2419,6835,7501,4766,5642
82,8820,9161,4486,6773,8374,2284,4290,6733
83,121,8718,223,3677,4333,3633,9769,9115
84,7327,7558,2545,6433,63,6491,2024,8343
85,8596,2438,2853,128,1509,9990,2509,7323
86,9300,2023,9352,3253,593,6558,1025,3800
87,4670,2372,9674,7765,117,8934,7936,825
88,7097,6705,5266,8122,3594,5311,8935,7375
89,8610,2277,1864,7487,8200,6654,8983,1891
90,9975,1617,9372,4592,627,6104,5967,8991
91,2139,6820,7240,7022,4518,8630,6246,7009
92,1746,8293,1410,766,5278,4998,8145,4327
93,6057,2711,3103,6676,9989,4757,7019,2635
94,124,6461,1630,5673,9426,1321,2539,9695
