index,x1,x2,x3,x4,x5,y1,y2,y3,y4,y5
0,2733,9846,3265,4860,9226,7892,4374,5875,6745,3469
1,706,2600,2223,7769,2898,9894,538,6217,6922,6037
2,2164,5073,4852,7878,2047,1872,7600,2497,8292,756
3,798,660,3220,8616,7457,3338,2746,4736,8737,6688
4,715,2293,8344,1208,6173,8995,7222,6022,3623,3561
5,8949,1642,4985,4354,8623,7251,4188,2660,9782,2957
6,2252,4421,7109,1072,5252,7013,9397,3919,9360,1685
7,7099,2958,4470,8753,9798,5796,1473,7264,7366,8449
8,6002,3763,9009,2436,1635,974,4465,8394,2419,3456
9,6168,5820,6522,6243,7743,9124,6739,2788,7317,4306
10,2611,5532,6927,7205,6923,4183,308,5303,1153,6951
11,8468,5295,1209,2493,8830,771,8287,5996,2345,3092
12,3913,1435,6595,5369,8373,7149,7998,3855,8033,8132
13,4846,5117,3534,2938,9838,4940,9745,3225,5022,1135
14,26,9681,957,1914,2935,9662,2722,929,5628,6266
15,5447,470,8718,1864,1721,5273,592,6186,2323,208
16,4263,3422,5250,8409,8217,5104,7940,2283,1741,6119
17,5847,3782,2776,2604,7180,6357,1163,624,8963,4052
18,1242,9014,4404,1199,2998,5662,808,2122,8068,3887
19,8923,6067,9988,1824,200,1448,5182,5209,6178,4864
20,6181,1793,1484,8390,895,5375,137,6274,9585,3420
21,169,6005,2853,9754,4420,8040,8701,3187,5919,5150
22,1778,3362,8339,5394,4318,4606,2563,6214,9101,4653
23,6236,424,6855,968,4371,9053,6188,5204,434,6238
24,1430,2547,330,3613,8402,6762,3969,8151,1041,6251
25,8357,8799,7705,6773,5312,9412,9524,9145,6012,2799
26,8353,2196,4681,6600,9304,3086,5714,5241,733,5029
27,8474,7595,4567,9501,7445,3397,5348,7035,596,648
28,574,6798,5638,8449,5260,9221,6568,4445,2990,587
29,5103,7602,740,4883,5411,438,3899,1848,9725,1021
30,6931,942,8642,5611,9009,2108,9883,4260,946,8394
31,7469,1806,1863,8743,3752,9865,2041,904,8697,8016
32,5897,7943,7378,9672,5594,3129,7027,3822,2712,8473
33,1029,2661,2354,5663,7735,8346,7522,1054,2978,5492
34,3894,2680,4951,2666,3058,6839,3969,852,9593,5029
35,3794,7317,8054,7153,3332,8319,5931,8770,5653,805
36,5445,3025,113,1968,651,4334,1385,64,4000,3989
37,2503,3517,2672,2388,5395,3442,8011,1964,5764,2957
38,7397,3899,3970,7297,4904,8891,293,9030,4100,5347
39,7034,4777,7453,6981,4123,737,4462,1972,8390,1672
40,607,2121,6997,9352,1732,7789,3396,6247,8021,8788
41,5344,2305,3420,1132,2004,7645,1708,9775,8193,7529
42,692,2548,2684,8536,6996,6863,6177,6599,5986,4525
43,828,6835,3205,94,2468,3779,405,5038,9402,376
44,3946,498,7667,7374,9631,8931,4516,6730,3291,1563
45,8653,3124,1839,9661,6960,4737,3467,4044,6030,4703
46,5639,7854,5535,6311,2988,4691,3293,2882,5802,7283
47,8527,8934,9436,8293,2464,7677,8367,8798,7795,3746
48,4877,3809,9962,9041,9283,5577,2174,9355,4721,6875
49,1180,8889,7289,2497,2758,7459,4048,2052,6845,3311
50,7846,1748,7829,9095,3869,4724,4999,4931,605,8157
51,3687,9062,3452,3782,9546,101,4791,9038,6038,5628
52,8864,3666,3108,8430,6911,9498,22,6574,1254,6103
53,8593,9199,3192,9894,8064,1735,6541,3419,8779,5047
54,7247,9023,9801,3206,5291,4548,6283,4851,1338,3548
55,388,5246,3923,1222,1925,7186,8902,8640,351,8857
56,3716,8617,4261,7739,9394,3512,674,1939,8034,8946
57,7304,1974,8530,5278,7971,116,5720,8044,8170,5697
58,3405,4243,2821,1800,2692,9265,6438,9710,9777,6254
59,4079,5406,4612,8267,6635,6008,3605,3281,5163,5619
60,29,1435,2904,3253,6449,9831,8970,7427,9078,613
61,4187,9285,8810,9739,4109,5737,4264,9121,9595,9115
62,100,7386,2355,5909,1609,5395,9113,7720,285,1
63,4804,5852,2964,9379,2099,4967,2069,6828,5605,6510
64,7875,8418,7821,1808,3191,1933,3974,267,5383,8807
65,9558,2419,6835,7501,4766,5642,8820,9161,4486,6773
66,8374,2284,4290,6733,121,8718,223,3677,4333,3633
67,9769,9115,7327,7558,2545,6433,63,6491,2024,8343
68,8596,2438,2853,128,1509,9990,2509,7323,9300,2023
69,9352,3253,593,6558,1025,3800,4670,2372,9674,7765
70,117,8934,7936,825,7097,6705,5266,8122,3594,5311
71,8935,7375,8610,2277,1864,7487,8200,6654,8983,1891
72,9975,1617,9372,4592,627,6104,5967,8991,2139,6820
73,7240,7022,4518,8630,6246,7009,1746,8293,1410,766
74,5278,4998,8145,4327,6057,2711,3103,6676,9989,4757
75,7019,2635,124,6461,1630,5673,9426,1321,2539,9695
76,2590,7775,7407,4479,7012,7336,7838,8701,3138,1409
77,1112,3878,5488,4826,1528,9318,1322,3953,3116,1135
78,3526,4471,2964,6896,8076,8072,4379,8753,2743,4705
79,4453,6744,9622,5631,2563,7435,3367,7079,8805,4546
80,9846,572,3749,902,2310,6183,6233,5840,6515,9482
81,7301,3097,9823,3459,8020,3972,3662,1292,8590,2533
82,2130,9371,1712,5803,8059,2490,1170,4058,6614,184
83,4208,5347,2828,6242,2287,5132,7138,5218,5472,2350
84,2823,2599,4148,9233,8088,4868,1883,7803,5534,646
85,5498,4040,6928,6991,9636,6325,5480,6408,762,9140
86,3998,4792,626,8588,5838,3384,2556,4601,5306,6759
87,7763,3309,166,1416,1822,9295,524,7229,8296,700
88,6274,449,8147,3468,6518,3088,132,214,3357,1615
89,2928,9026,4941,1292,9498,1384,9051,4846,5539,3071
90,657,2594,3106,7341,1511,9001,1131,596,4851,1441
91,5016,325,5536,8855,7233,7910,80,8276,6928,5131
92,5621,9834,9041,1732,1361,5441,9346,364,4563,2387
93,8890,3479,7952,9104,3400,4410,2875,2318,6035,79
94,8143,5909,5704,7414,3164,6189,7952,1624,6092,1614
95,8703,7582,5728,7813,5042,2392,7889,7210,9691,1777
96,9411,7088,2322,1345,237,2128,6219,1187,6823,3063
97,5782,7971,8566,2475,9600,612,6906,3996,2353,5504
98,1675,9490,6916,7782,5727,1660,7327,5324,3550,7485
99,6836,6389,244,2582,3216,2801,6411,1682,3048,798
100,7364,4561,2275,8638,9317,1656,2423,1782,6438,1308
101,5719,1632,3385,6942,2016,5539,8379,6016,3967,4050
102,5597,7825,5692,1005,5128,3797,4844,3294,1065,8405
103,9326,4200,8773,8687,7117,9080,4081,2597,166,8927
104,374,9711,7460,6065,5682,3258,4362,6195,9393,8178
105,2548,5157,7455,5747,7316,36,4879,6174,61,7506
106,6980,1058,4532,3959,1436,3301,8249,6422,3819,7499
107,2590,958,9787,5913,4211,6593,3941,770,4355,1859
108,3835,5581,3743,1576,5710,2994,1307,1165,3314,961
109,3493,3947,6433,9727,7453,2781,1230,6704,9526,9927
110,4746,3600,6931,1182,3005,2515,6787,2084,3348,3985
111,3608,7821,4452,7022,9923,6933,2989,2087,7211,7115
112,363,4649,1904,1460,6948,543,1800,7129,240,7316
113,2894,6120,5945,6118,7624,61,8217,3437,7464,368
114,4213,4113,6363,9007,7393,2655,1877,3864,3728,4269
115,5240,1592,6446,7139,3800,433,5510,8570,4328,882
116,1821,2117,5885,371,7074,7652,9777,5220,8154,1636
117,130,4296,9317,2638,7789,3251,1436,4193,1580,3860
118,6499,1326,8293,4433,4986,7084,6721,373,3169,1507
119,6425,9219,6654,3528,2252,244,375,4162,2513,6515
120,6000,6342,8994,5251,4472,3984,4936,2029,6942,1444
121,2786,946,849,320,7641,9659,5371,4670,3179,7442
122,2094,5089,9791,3095,7783,1357,760,4497,3388,1341
123,5786,5263,878,7998,82,2247,4595,4275,3671,6326
124,9995,9631,5948,9359,4729,1081,4546,1897,8824,3050
125,6433,2979,5662,6196,7642,8630,5313,3964,2203,9685
126,2438,7001,2322,2361,338,74,741,3249,740,5391
127,4670,8609,8605,4268,179,5961,2470,8978,4240,708
128,9558,5617,3166,5331,7688,9016,5147,8837,8282,3696
129,5716,4755,2657,9600,5613,8580,1683,8398,5779,2317
130,6768,8008,6958,3793,2137,6446,6528,6364,166,435
131,1969,1229,9221,5105,5044,1199,7580,3407,4967,5518
132,3589,4823,5392,7198,9167,7339,1228,7388,2583,7279
133,1493,3768,1155,7834,9854,1665,3424,185,7279,5075
134,7727,5210,2766,1677,6463,294,4052,4984,8093,9577
135,7770,3870,9269,3797,5394,8833,1507,8386,7214,1147
136,2738,5631,1346,1366,2483,9543,7076,8677,2200,2171
137,2131,5223,90,8943,3186,8348,8022,1538,2314,1874
138,5185,2296,5956,3578,8247,1317,8212,1008,3782,4821
139,6782,5290,209,2705,2234,2327,1417,4927,1194,8295
140,9821,2157,908,5027,92,1842,9640,1098,1881,2793
141,9442,4815,9221,1717,3912,7534,3334,8744,8528,663
142,9434,5012,7999,8990,9994,6244,3795,7753,256,8036
143,6771,6386,9528,9739,5401,5472,1678,5071,4152,6150
144,8600,6187,5736,1382,9804,1910,7097,4249,3410,6111
145,3219,5466,1566,7462,2994,5289,4594,7392,4200,3340
146,8505,8182,7616,6287,9505,6338,5242,374,834,6181
147,2074,6217,2969,6539,6664,949,2505,5348,2258,1176
148,5750,1206,4621,5550,5552,8872,5780,1259,1902,5043
149,2988,595,1487,102,4281,6835,987,8716,2669,3212
150,6565,3967,3250,4045,6098,5344,4043,5937,4683,5667
151,3533,2802,7464,9739,8963,9594,5104,76,1967,3124
152,6645,4091,3716,2321,7950,3879,4357,9108,4690,3217
153,2431,8857,9484,8343,3645,9436,4739,5001,5193,6439
154,1589,2393,2464,8948,3735,9515,6332,311,6090,5914
155,5946,7366,6490,302,1340,1965,1179,3705,2678,4730
156,8609,5775,3400,1726,514,3575,7549,2414,7340,2523
157,9232,8005,1227,6230,107,7660,4353,9810,3259,5340
158,5047,8624,8983,3397,3963,831,3877,8914,8391,8455
159,3505,7709,4174,2442,470,7161,1189,8477,5621,971
160,9731,2470,7112,7256,1759,4050,9732,112,6993,1780
161,4691,4915,1982,2539,1828,8502,3442,5480,5675,6685
162,8320,8364,9300,4159,6794,1244,4836,2913,6176,8087
163,3455,5946,7190,3902,3882,4972,7832,7422,2793,5941
164,280,9339,3913,3310,816,9872,6082,2655,811,7935
165,513,2951,4830,3140,4384,2846,6161,4094,9479,4330
166,4364,3410,4990,9516,6468,512,2680,4367,271,448
167,4470,44,7527,5013,2584,5411,3361,2882,2838,2629
168,7982,1001,4889,4021,3721,5346,8443,5899,2623,1566
169,140,8520,3643,8150,6472,8858,493,823,5239,340
170,1402,491,7300,885,7125,4082,852,2298,2598,6589
171,877,9736,3005,7163,4451,1513,7336,7714,8034,6346
172,6232,5445,9223,8034,1395,4864,2110,7157,7356,3576
173,4894,1264,9209,4125,7321,4563,9878,3335,1302,3704
174,2971,8154,6950,1401,7628,2700,7479,9734,7931,8062
